Origin,OriginAirportID,OriginCityName,OriginEncoded,OriginCityNameEncoded
GJT,11921,Grand Junction,141,122
HRL,12206,Harlingen/San Benito,164,135
DRO,11413,Durango,103,93
IAH,12266,Houston,171,147
DEN,11292,Denver,97,83
TYS,15412,Knoxville,362,173
MOB,13422,Mobile,235,217
LNK,13029,Lincoln,209,191
BHM,10599,Birmingham,37,35
IAD,12264,Washington,169,343
ECP,11481,Panama City, 111,250
AEX,10185,Alexandria,11,8
LFT,12951,Lafayette,204,178
BTR,10781,Baton Rouge,56,26
ABQ,10140,Albuquerque,2,7
BUF,10792,Buffalo,58,47
ALB,10257,Albany,14,6
HSV,12217,Huntsville,165,148
TUL,15370,Tulsa,356,334
CPR,11122,Casper,83,52
CRP,11140,Corpus Christi,84,75
EWR,11618,Newark,121,231
DCA,11278,Washington,94,343
STL,15016,St. Louis,341,319
CVG,11193,Cincinnati,87,65
RIC,14524,Richmond,298,277
PVD,14307,Providence,289,267
CLT,11057,Charlotte,75,58
GSO,11995,Greensboro/High Point,148,126
ERI,11577,Erie,116,99
ORD,13930,Chicago,255,63
LEX,12945,Lexington,203,188
ABE,10135,Allentown/Bethlehem/Easton,0,9
CAK,10874,Akron,63,4
AVL,10431,Asheville,27,15
DAY,11267,Dayton,92,78
CHO,10990,Charlottesville,68,60
ROA,14574,Roanoke,302,279
PWM,14321,Portland,291,263
LIT,12992,Little Rock,208,192
MKE,13342,Milwaukee,230,211
BTV,10785,Burlington,57,49
OMA,13871,Omaha,252,243
GRB,11977,Green Bay,144,125
MLI,13367,Moline,233,218
SDF,14730,Louisville,318,196
FNT,11721,Flint,131,108
CHS,10994,Charleston,69,56
PIT,14122,Pittsburgh,276,259
TVC,15380,Traverse City,358,331
ATW,10408,Appleton,24,13
DLH,11337,Duluth,102,92
ROC,14576,Rochester,303,280
SPI,14952,Springfield,336,316
HPN,12197,White Plains,163,349
MBS,13184,Saginaw/Bay City/Midland,216,285
CID,11003,Cedar Rapids/Iowa City,70,54
MYR,13577,Myrtle Beach,245,225
CAE,10868,Columbia,62,71
SGF,14783,Springfield,322,316
AVP,10434,Scranton/Wilkes-Barre,28,307
GRR,11986,Grand Rapids,147,123
DSM,11423,Des Moines,105,84
CLE,11042,Cleveland,73,67
PIA,14108,Peoria,271,254
MSN,13485,Madison,239,199
MDT,13230,Harrisburg,220,136
SBN,14696,South Bend,312,314
MEM,13244,Memphis,223,207
ICT,12278,Wichita,172,350
SHV,14814,Shreveport,326,310
XNA,15919,Fayetteville,370,106
DIK,11315,Dickinson,100,87
