Dest,DestAirportID,DestCityName,DestEncoded,DestCityNameEncoded
DEN,11292,Denver,97,83
IAH,12266,Houston,171,147
GPT,11973,Gulfport/Biloxi,143,130
TUL,15370,Tulsa,356,334
LCH,12915,Lake Charles,201,179
AEX,10185,Alexandria,11,8
MOB,13422,Mobile,235,217
CPR,11122,Casper,83,52
OKC,13851,Oklahoma City,251,242
GJT,11921,Grand Junction,141,122
DRO,11413,Durango,103,93
SAF,14674,Santa Fe,307,300
SHV,14814,Shreveport,326,310
MFE,13256,Mission/McAllen/Edinburg,224,214
DIK,11315,Dickinson,100,87
HRL,12206,Harlingen/San Benito,164,135
BTR,10781,Baton Rouge,56,26
HSV,12217,Huntsville,165,148
ICT,12278,Wichita,172,350
SGF,14783,Springfield,322,316
LNK,13029,Lincoln,209,191
LFT,12951,Lafayette,204,178
CRP,11140,Corpus Christi,84,75
ROC,14576,Rochester,303,280
PVD,14307,Providence,289,267
IAD,12264,Washington,169,343
DCA,11278,Washington,94,343
IND,12339,Indianapolis,177,151
CLT,11057,Charlotte,75,58
EWR,11618,Newark,121,231
BUF,10792,Buffalo,58,47
AVL,10431,Asheville,27,15
ITH,12397,Ithaca/Cortland,180,155
LGA,12953,New York,205,230
RIC,14524,Richmond,298,277
STL,15016,St. Louis,341,319
PHL,14100,Philadelphia,269,256
ORD,13930,Chicago,255,63
CAE,10868,Columbia,62,71
MKE,13342,Milwaukee,230,211
BTV,10785,Burlington,57,49
ERI,11577,Erie,116,99
DAY,11267,Dayton,92,78
ROA,14574,Roanoke,302,279
ATW,10408,Appleton,24,13
CLE,11042,Cleveland,73,67
AVP,10434,Scranton/Wilkes-Barre,28,307
DLH,11337,Duluth,102,92
TYS,15412,Knoxville,362,173
OMA,13871,Omaha,252,243
FNT,11721,Flint,131,108
CHS,10994,Charleston,69,56
MLI,13367,Moline,233,218
MBS,13184,Saginaw/Bay City/Midland,216,285
TVC,15380,Traverse City,358,331
PWM,14321,Portland,291,263
GRB,11977,Green Bay,144,125
GSO,11995,Greensboro/High Point,148,126
CID,11003,Cedar Rapids/Iowa City,70,54
MYR,13577,Myrtle Beach,245,225
PIA,14108,Peoria,271,254
MSN,13485,Madison,239,199
CHO,10990,Charlottesville,68,60
ABE,10135,Allentown/Bethlehem/Easton,0,9
SDF,14730,Louisville,318,196
MDT,13230,Harrisburg,220,136
GRR,11986,Grand Rapids,147,123
MEM,13244,Memphis,223,207
HPN,12197,White Plains,163,349
LIT,12992,Little Rock,208,192
DSM,11423,Des Moines,105,84
LEX,12945,Lexington,203,188
SPI,14952,Springfield,336,316
CAK,10874,Akron,63,4
ALB,10257,Albany,14,6
SBN,14696,South Bend,312,314
PIT,14122,Pittsburgh,276,259
PNS,14193,Pensacola,278,253
BHM,10599,Birmingham,37,35
BRO,10747,Brownsville,53,45
XNA,15919,Fayetteville,370,106
LRD,13061,Laredo,210,182
TXK,15401,Texarkana,360,329
CVG,11193,Cincinnati,87,65
ORF,13931,Norfolk,256,236
SCE,14711,State College,316,321
CMH,11066,Columbus,76,72
PQI,14231,Presque Isle/Houlton,280,266
ILM,12323,Wilmington,175,353
SYR,15096,Syracuse,349,326
RDU,14492,Raleigh/Durham,295,272
JAX,12451,Jacksonville,184,158
ECP,11481,Panama City,111,250
JAN,12448,Jackson/Vicksburg,183,157
ABQ,10140,Albuquerque,2,7
FLG,11695,Flagstaff,128,107
GSP,11996,Greer,149,128
ELP,11540,El Paso,115,96
MAF,13158,Midland/Odessa,215,210
IDA,12280,Idaho Falls,173,150
AUS,10423,Austin,26,21
BNA,10693,Nashville,46,227
SAV,14685,Savannah,310,305
BUR,10800,Burbank,59,48
DAL,11259,Dallas,91,76
HOU,12191,Houston,162,147
LAS,12889,Las Vegas,194,183
LAX,12892,Los Angeles,196,195
MDW,13232,Chicago,221,63
PHX,14107,Phoenix,270,257
SAN,14679,San Diego,308,292
BWI,10821,Baltimore,60,23
TPA,15304,Tampa,353,328
FLL,11697,Fort Lauderdale,129,111
MCI,13198,Kansas City,217,167
MCO,13204,Orlando,218,245
MIA,13303,Miami,229,209
MSY,13495,New Orleans,242,229
PBI,14027,West Palm Beach/Palm Beach,264,347
RSW,14635,Fort Myers,306,113
SAT,14683,San Antonio,309,291
SRQ,14986,Sarasota/Bradenton,339,303
AMA,10279,Amarillo,18,11
ATL,10397,Atlanta,23,18
LBB,12896,Lubbock,197,197
LGB,12954,Long Beach,206,193
MSP,13487,Minneapolis,241,212
OAK,13796,Oakland,247,239
ONT,13891,Ontario,254,244
SJC,14831,San Jose,328,294
SLC,14869,Salt Lake City,331,289
SMF,14893,Sacramento,333,284
SNA,14908,Santa Ana,335,298
BOS,10721,Boston,48,40
DTW,11433,Detroit,106,85
ISP,12391,Islip,179,154
VPS,15624,Valparaiso,367,338
RNO,14570,Reno,301,275
SFO,14771,San Francisco,321,293
BDL,10529,Hartford,31,137
MHT,13296,Manchester,228,200
SJU,14843,San Juan,330,295
COS,11109,Colorado Springs,81,70
BOI,10713,Boise,47,39
